Sentence,Organizations
Battaramulla,took at,the DRP premises
Battaramulla,took at,the DRP premises
Battaramulla,took at,the DRP premises
Battaramulla,took at,the DRP premises
Battaramulla,took at,the DRP premises
  Amãna Bank,ranked in,the inaugural Most Awarded Entities
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
Amãna Bank,bestowed During, 
Amãna Bank,bestowed During,the assessing period
Amãna Bank,bestowed with,16 recognitions
iPay,using for,various types
LOLC Finance,been at,the forefront
LOLC Finance,been at,the forefront
 iPay,built on,an architecture
 LOLC Finance,operates as,iPay
 LOLC Finance,operates as,iPay
 Moody,cranked from,6.1%
JPMorgan,lists from,Cameroon
JPMorgan,lists to,Tajikistan
Market Leader for Trade Finance,voted in,the same survey
Market Leader for Trade Finance,voted in,the same survey
Market Leader for Trade Finance,voted in,the same survey
HSBC,voted In, 
HSBC,voted In,terms
HSBC,voted in,addition
HSBC,voted in,13 Asia Pacific sites
HSBC,voted in,eight Asia Pacific sites
HSBC,voted In, 
HSBC,voted In,terms
HSBC,voted in,addition
HSBC,voted in,13 Asia Pacific sites
HSBC,voted in,eight Asia Pacific sites
the MSCI Asia Pacific Index,outperformed Despite, 
the MSCI Asia Pacific Index,outperformed Despite,its 3.7% plunge
 Bernstein Asia Quantitative Strategist Rupal Agarwal, Bernstein Asia Quantitative Strategist Rupal Agarwal in,Mumbai
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC,invested Over, 
HSBC,invested Over,the course
HSBC,is With, 
HSBC,is With,the goal
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC,continuing As,a leading international bank
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC,continuing As,a leading international bank
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC,continuing As,a leading international bank
Digital,onboarding for,credit cards
Digital,onboarding for,credit cards
 HSBC,introduced as,the leading international bank
Credit Cards,introduced as,the leading international bank
 HSBC,introduced as,the leading international bank
Credit Cards,introduced as,the leading international bank
Contactless-enabled Debit Cards,introduced As, 
Contactless-enabled Debit Cards,introduced As,a new addition
Contactless-enabled Debit Cards,introduced as,"a safe, simple and secure way"
  Union Assurance,opened at,Kollupitiya St.
Sampath Bank,noted with,pride
Sampath Bank,noted with,pride
 Sampath Bank,achieved in,a record 33 years
 Sampath Bank,rated amongst,the Most Admired Companies
 Sampath Bank,rated amongst,the Most Admired Companies
 Sampath Bank,rated amongst,the Most Admired Companies
 Sampath Bank,rated amongst,the Most Admired Companies
 Sampath Bank,rated amongst,the Most Admired Companies
 Sampath Bank,placed in,profitability
Sampath Bank,emerged According, 
Sampath Bank,emerged According,to
Sampath Bank,emerged According,’s Brands Annual publication
Sampath Bank,emerged as,the ‘Most Loved Brand
Sampath Bank,emerged in,the Banking category
Sampath Bank,emerged According, 
Sampath Bank,emerged According,to
Sampath Bank,emerged According,’s Brands Annual publication
Sampath Bank,emerged as,the ‘Most Loved Brand
Sampath Bank,emerged in,the Banking category
Sampath Bank,emerged According, 
Sampath Bank,emerged According,to
Sampath Bank,emerged According,’s Brands Annual publication
Sampath Bank,emerged as,the ‘Most Loved Brand
Sampath Bank,emerged in,the Banking category
Sampath Bank,acknowledged In, 
Sampath Bank,acknowledged In,terms
Sampath Bank,acknowledged as,Sri Lanka
Sampath Bank,acknowledged for,the seventh consecutive year
Sampath Bank,acknowledged at,the World Finance Banking Awards
Sampath Bank,acknowledged In, 
Sampath Bank,acknowledged In,terms
Sampath Bank,acknowledged as,Sri Lanka
Sampath Bank,acknowledged for,the seventh consecutive year
Sampath Bank,acknowledged at,the World Finance Banking Awards
Sampath Bank,acknowledged In, 
Sampath Bank,acknowledged In,terms
Sampath Bank,acknowledged as,Sri Lanka
Sampath Bank,acknowledged for,the seventh consecutive year
Sampath Bank,acknowledged at,the World Finance Banking Awards
Recognition,Recognition as,such
Recognition,Recognition as,this further underscores Sampath Bank’s strong financials
Recognition,Recognition as,such
Recognition,Recognition as,this further underscores Sampath Bank’s strong financials
The Commercial Bank of Ceylon,declared in,2020
the ‘Strongest Bank,declared in,2020
The Commercial Bank of Ceylon,declared in,2020
the ‘Strongest Bank,declared in,2020
The Commercial Bank of Ceylon,declared in,2020
the ‘Strongest Bank,declared in,2020
The Commercial Bank of Ceylon,declared in,2020
the ‘Strongest Bank,declared in,2020
 The Asian Banker,publishing in,the Asia Pacific region
 The Asian Banker,publishing on,the basis
 The Asian Banker,publishing since,2007
 The Asian Banker,publishing in,the Asia Pacific region
 The Asian Banker,publishing on,the basis
 The Asian Banker,publishing since,2007
Advent International,headquartered in,the US
Advent International,headquartered with,examples
Advent International,headquartered in,the US
Advent International,headquartered with,examples
Advent International,headquartered in,the US
Advent International,headquartered with,examples
Advent International,headquartered in,the US
Advent International,headquartered with,examples
Advent International,headquartered in,the US
Advent International,headquartered with,examples
Apollo Global Management,invested For, 
Apollo Global Management,invested For,instance
Apollo Global Management,invested in,distressed companies
Apollo Global Management,invested during,downturns
Apollo Global Management,invested during,the pandemic
Apollo Global Management,invested For, 
Apollo Global Management,invested For,instance
Apollo Global Management,invested in,distressed companies
Apollo Global Management,invested during,downturns
Apollo Global Management,invested during,the pandemic
Reuters,jumped on,Monday
Reuters,jumped on,Monday
Reuters,jumped on,Monday
The US House of Representatives,approved on,Saturday
The US House of Representatives,approved on,Saturday
The US House of Representatives,approved on,Saturday
 Nations Trust Bank,participated in,providing
Nations Trust Bank Group,demonstrated Despite, 
Nations Trust Bank Group,demonstrated Despite,the unprecedented circumstances
the Group,recorded after,tax
the Group,recorded compared,to
the Group,recorded after,tax
the Group,recorded compared,to
the Group,recorded after,tax
the Group,recorded compared,to
 The Statutory Liquid Asset Ratio,was at,38.79%
 The Statutory Liquid Asset Ratio,was as,at
(SLAR, The Statutory Liquid Asset Ratio for,the Domestic Banking Unit
 The Statutory Liquid Asset Ratio,was at,38.79%
 The Statutory Liquid Asset Ratio,was as,at
(SLAR, The Statutory Liquid Asset Ratio for,the Domestic Banking Unit
Siyapatha Finance PLC,maintains With,the accumulation
Siyapatha Finance PLC,maintains as,a fully owned subsidiary
Siyapatha Finance PLC,maintains With,the accumulation
Siyapatha Finance PLC,maintains as,a fully owned subsidiary
Siyapatha Finance,known for,its assurance
Siyapatha Finance,known for,its assurance
Upholding,values of,loyalty
 Siyapatha Finance,aims at,providing
Siyapatha Finance,developed In, 
Siyapatha Finance,developed In,spite
 Siyapatha Finance,improved by,responding
Cargills Bank,revised to,AA-(lka
Cargills Bank,revised with,a Stable outlook
Cargills Bank,revised from,A+
Cargills Bank,revised to,AA-(lka
Cargills Bank,revised with,a Stable outlook
Cargills Bank,revised from,A+
Cargills Bank,revised to,AA-(lka
Cargills Bank,revised with,a Stable outlook
Cargills Bank,revised from,A+
Cargills Bank,revised to,AA-(lka
Cargills Bank,revised with,a Stable outlook
Cargills Bank,revised from,A+
Cargills Bank,established As, 
Cargills Bank,established As,the financial services arm
Cargills Bank,established in,2014
Cargills Bank,established with,a vision
Cargills Bank,established As, 
Cargills Bank,established As,the financial services arm
Cargills Bank,established in,2014
Cargills Bank,established with,a vision
Cargills Food City,supermarket in,the country
Cargills Food City,supermarket in,the country
Cargills Food City,supermarket in,the country
their Cargills Bank,accounts through,Cargills FoodCity outlets
their Cargills Bank,accounts through,Cargills FoodCity outlets
their Cargills Bank,accounts through,Cargills FoodCity outlets
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
 Cargills Bank,headquartered in,Colpetty
 Cargills Bank,headquartered in,Colombo
Investments PLC,  Commercial Credit Chief Operating Officer Rajiv Casie Chitty Trade Finance for,over 35 years
Investments PLC,  Commercial Credit Chief Operating Officer Rajiv Casie Chitty Trade Finance for,over 35 years
Investments PLC,  Commercial Credit Chief Operating Officer Rajiv Casie Chitty Trade Finance for,over 35 years
CCF,provides with,a strong base
Ceylinco Life,achieved for,FY
 Ceylinco Life,paid for,the year
 Ceylinco Life,transferred to,the shareholders’ fund
 Ceylinco Life,transferred in,respect
 Ceylinco Life,amounted to,138.68
  Fintrex Finance City Branch,celebrated amidst,the blessings
  Fintrex Finance City Branch,celebrated on,11 February
  Fintrex Finance City Branch,celebrated amidst,the blessings
  Fintrex Finance City Branch,celebrated on,11 February
The Commercial Bank of Ceylon,support to,the Central Bank initiative
The Commercial Bank of Ceylon,support to,the Central Bank initiative
The Commercial Bank of Ceylon,support to,the Central Bank initiative
The Commercial Bank of Ceylon,support to,the Central Bank initiative
 Commercial Bank,offering in,the Galle Fort area
 Commercial Bank,offering in,the Galle Fort area
 Commercial Bank,offering in,the Galle Fort area
 Commercial Bank,offering in,the Galle Fort area
 LCB Finance,formed in,the Southern Region
 LCB Finance,formed in,2016
a Post-Tax Profit,a Pre-Tax Profit of,$ 2.84 billion
a Post-Tax Profit,a Pre-Tax Profit of,$ 2.84 billion
Pan Asia Bank,played In, 
Pan Asia Bank,played In,addition
Pan Asia Bank,included among,the ‘Top 30 Corporates
 Pan Asia Bank,celebrated in,2020
its Silver Jubilee,celebrated in,2020
Pan Asia Bank,earned as,an agile and robust banking institution
IBD,the Islamic Banking Division of,Commercial Leasing & Finance PLC
IBD,the Islamic Banking Division of,Commercial Leasing & Finance PLC
IBD,the Islamic Banking Division of,Commercial Leasing & Finance PLC
IBD,the Islamic Banking Division of,Commercial Leasing & Finance PLC
(CLC,clinched for,award
Awards,the same category at,the Sri Lankan Islamic Banking and Finance Industry
(CLC,clinched for,award
Awards,the same category at,the Sri Lankan Islamic Banking and Finance Industry
(CLC,clinched for,award
Awards,the same category at,the Sri Lankan Islamic Banking and Finance Industry
(CLC,clinched for,award
Awards,the same category at,the Sri Lankan Islamic Banking and Finance Industry
(CLC,clinched for,award
